date,price,volume
2000-07-10,97.69,1498700
2000-07-11,98.5,1249100
2000-07-12,101.9,2751000
2000-07-13,104.3,2207300
2000-07-14,104.2,1143000
2000-07-17,100,1225000
2000-07-18,103.9,2449700
2000-07-19,100.8,874200
2000-07-20,103.7,1027700
2000-07-21,104.3,1155300
2000-07-24,105.4,1457700
2000-07-25,106,1092500
2000-07-26,105.9,1247400
2000-07-27,100,1299100
2000-07-28,98.5,1370800
2000-07-31,98.69,1734100
2000-08-01,100.6,1990600
2000-08-02,102.1,13171500
2000-08-03,105.6,2700200
2000-08-04,111.3,3709300
2000-08-07,114.1,2457700
2000-08-08,113,1984600
2000-08-09,114.9,1488800
2000-08-10,112,1188900
2000-08-11,119.9,1489600
2000-08-14,120.8,2121700
2000-08-15,118.2,1548900
2000-08-16,115.3,2521000
2000-08-17,118.6,1780400
2000-08-18,117,853900
2000-08-21,117.8,1082000
2000-08-22,119.9,2178800
2000-08-23,119,1650600
2000-08-24,118.3,1049600
2000-08-25,119.4,984200
2000-08-28,122.4,1422700
2000-08-29,127.4,2495500
2000-08-30,123.7,2136000
2000-08-31,129.5,1394100
2000-09-01,129.6,993800
2000-09-05,128.8,1184400
2000-09-06,128.1,2104200
2000-09-07,128.7,1046800
2000-09-08,124.3,1358800
2000-09-11,132,2718400
2000-09-12,131.3,1905100
2000-09-13,128.5,1437400
2000-09-14,129,1278100
2000-09-15,124.9,1441100
2000-09-18,118.6,2410400
2000-09-19,119.9,3284700
2000-09-20,118,2067500
2000-09-21,113.3,2324000
2000-09-22,114.9,2382900
2000-09-25,116.5,1337900
2000-09-26,110.9,2032900
2000-09-27,107.1,2008800
2000-09-28,113,1891700
2000-09-29,114.1,2193700
2000-10-02,115.4,1258700
2000-10-03,113.9,1502600
2000-10-04,109.4,1757900
2000-10-05,114.9,1853900
2000-10-06,108.9,3625100
2000-10-09,105.3,1612200
2000-10-10,102.7,2744500
2000-10-11,104,5509500
2000-10-12,94.31,3723100
2000-10-13,101.5,2798700
2000-10-16,103.6,3475400
2000-10-17,99.25,2111700
2000-10-18,98,4426400
2000-10-19,100.6,2322600
2000-10-20,104.9,1707400
2000-10-23,102.4,2019600
2000-10-24,101.1,1904000
2000-10-25,96.19,2166600
2000-10-26,92.94,2352000
2000-10-27,93,2097000
2000-10-30,96.5,1803800
2000-10-31,99.81,1863800
2000-11-01,96.69,2094600
2000-11-02,99.25,1505800
2000-11-03,100.4,1658600
2000-11-06,96.06,1927800
2000-11-07,93.75,1756700
2000-11-08,92.44,2051000
2000-11-09,91.88,1845200
2000-11-10,89.19,2604300
2000-11-13,86.38,3201700
2000-11-14,88.88,2167100
2000-11-15,90.06,1851400
2000-11-16,91.44,1223400
2000-11-17,88.06,1398800
2000-11-20,83,1663000
2000-11-21,84.19,2066800
2000-11-22,79.94,2296900
2000-11-24,81.5,1086200
2000-11-27,82.5,1883700
2000-11-28,80.5,1701300
2000-11-29,82.88,2329300
2000-11-30,82.13,2514000
2000-12-01,82,1380900
2000-12-04,81.75,1601500
2000-12-05,88.75,3981000
2000-12-06,87.75,3785000
2000-12-07,85.88,1555400
2000-12-08,91.88,2063500
2000-12-11,96,3869700
2000-12-12,92.44,1789200
2000-12-13,94.06,2573500
2000-12-14,87.44,3131400
2000-12-15,86.69,2963100
2000-12-18,85.94,3077600
2000-12-19,89.38,6007800
2000-12-20,90,3840500
2000-12-21,93.81,3072000
2000-12-22,98.81,2642900
2000-12-26,101.81,2198000
2000-12-27,101.9,1782500
2000-12-28,107.1,2483600
2000-12-29,106.9,2075000
2001-01-02,100.3,3202400
2001-01-03,115.5,7355200
2001-01-04,112.8,5867200
2001-01-05,107.9,4328600
2001-01-08,106.4,2169500
2001-01-09,104.8,2295200
2001-01-10,108.5,2716200
2001-01-11,110.5,3674000
2001-01-12,108.8,1806000
2001-01-16,110,2267800
2001-01-17,110,3212700
2001-01-18,107.5,2583900
2001-01-19,110.9,2760600
2001-01-22,113.1,2783800
2001-01-23,116,3270900
2001-01-24,117.9,5110600
2001-01-25,113.6,2724100
2001-01-26,114.7,2446000
2001-01-29,115.9,1630200
2001-01-30,118.6,1700000
2001-01-31,113.8,3500600
2001-02-01,118.2,2579800
2001-02-02,114,2158900
2001-02-05,112.1,2540100
2001-02-06,109,2246600
2001-02-07,105.2,3138200
2001-02-08,106,2716600
2001-02-09,107.8,2742100
2001-02-12,109.5,1952500
2001-02-13,105.9,2213400
2001-02-14,104.3,2401000
2001-02-15,107.2,3020000
2001-02-16,101.5,2620200
2001-02-20,96,3273600
2001-02-21,94.4,4273900
2001-02-22,97.2,4517900
2001-02-23,96.04,4350600
2001-02-26,98.3,3882100
2001-02-27,98.34,4132200
2001-02-28,91.75,4745600
2001-03-01,91.61,5330800
2001-03-02,91.4,4105500
2001-03-05,92.15,2837300
2001-03-06,95.35,3156800
2001-03-07,94.95,3780200
2001-03-08,91.75,3078300
2001-03-09,87,2968600
2001-03-12,82.49,4860800
2001-03-13,87.51,4596400
2001-03-14,83.91,6390800
2001-03-15,87.95,4706900
2001-03-16,87.55,4385300
2001-03-19,90.94,3205100
2001-03-20,87.06,7271300
2001-03-21,85,5204200
2001-03-22,85.91,5776900
2001-03-23,89.81,4026900
2001-03-26,89.24,3292600
2001-03-27,93.5,3700100
2001-03-28,87.25,4127400
2001-03-29,88.1,3472000
2001-03-30,85.1,2855900
2001-04-02,84.16,2939800
2001-04-03,81.31,3203600
2001-04-04,77.53,6130100
2001-04-05,86,5193500
2001-04-06,84.2,4452100
2001-04-09,84,2884500
2001-04-10,87.81,2955000
2001-04-11,91.3,3427000
2001-04-12,94,3024400
2001-04-16,91.78,2725300
2001-04-17,93.1,2838900
2001-04-18,99.65,5979300
2001-04-19,97.69,3918600
2001-04-20,95.66,2297300
2001-04-23,92.96,2063400
2001-04-24,91.4,2786500
2001-04-25,92.82,3109700
2001-04-26,92.49,4163200
2001-04-27,92.94,4054700
2001-04-30,91.1,2716800
2001-05-01,92.65,3781600
2001-05-02,98,4391200
2001-05-03,96,3092900
2001-05-04,97.2,3000400
2001-05-07,96.01,2135600
2001-05-08,95.25,1935100
2001-05-09,94.66,1931800
2001-05-10,94.51,1935600
2001-05-11,92.85,2591600
2001-05-14,94.1,1616200
2001-05-15,94.85,2560400
2001-05-16,99.95,3089700
2001-05-17,97.95,2270500
